time,sigOut,sigIn,sigPot
96.800,-0.005,0.000,0.000
96.900,-0.005,0.000,-0.005
97.000,-0.005,0.000,0.000
97.100,-0.005,0.000,0.000
97.200,-0.005,0.000,0.000
97.300,-0.005,0.000,0.000
97.400,-0.005,0.000,-0.005
97.500,-0.005,0.000,-0.005
97.600,-0.005,0.000,0.000
97.700,-0.005,0.000,0.000
97.800,-0.005,0.000,0.000
97.900,-0.005,0.000,0.000
98.000,-0.005,0.000,0.000
98.100,-0.005,0.000,0.000
98.200,-0.005,0.000,0.000
98.300,-0.005,0.000,0.000
98.400,-0.005,0.000,0.000
98.500,-0.005,0.000,0.000
98.600,-0.005,0.000,0.000
98.700,-0.005,0.000,0.000
98.800,-0.005,0.000,0.000
98.900,-0.005,0.000,-0.005
99.000,-0.005,0.000,0.000
99.100,-0.005,0.000,0.000
99.200,-0.005,0.000,0.000
99.300,-0.005,0.000,0.000
99.400,-0.005,0.000,0.000
99.500,-0.005,0.000,0.000
99.600,-0.005,0.000,0.000
99.700,-0.005,0.000,0.000
99.800,-0.005,0.000,0.000
99.900,-0.005,0.000,0.000
100.000,-0.005,0.000,-0.005
100.100,-0.005,0.000,0.000
100.200,-0.005,0.000,0.000
100.300,-0.005,0.000,0.000
100.400,-0.005,0.000,0.000
100.500,-0.005,0.000,0.000
100.600,-0.005,0.000,0.000
100.700,-0.005,0.000,-0.005
100.800,-0.005,0.000,-0.005
100.900,-0.005,0.000,0.000
101.000,-0.005,0.000,0.000
101.100,-0.005,0.000,0.000
101.200,-0.005,0.000,-0.005
101.300,-0.005,0.000,0.000
101.400,-0.005,0.000,-0.005
101.500,-0.005,0.000,0.000
101.600,-0.005,0.000,0.000
101.700,-0.005,0.000,-0.005
101.800,-0.005,0.000,0.000
101.900,-0.005,0.000,0.000
102.000,-0.005,0.000,0.000
102.100,-0.005,0.000,0.000
102.200,-0.005,0.000,0.000
102.300,-0.005,0.000,-0.005
102.400,-0.005,0.000,0.000
102.500,-0.005,0.000,0.000
102.600,-0.005,0.000,0.000
102.700,-0.005,0.000,0.000
102.800,-0.005,0.000,0.000
102.900,-0.005,0.000,-0.005
103.000,-0.005,0.000,-0.005
103.100,-0.005,0.000,0.000
103.200,-0.005,0.000,0.000
103.300,-0.005,0.000,0.000
103.400,-0.005,0.000,0.000
103.500,-0.005,0.000,0.000
103.600,-0.005,0.000,-0.005
103.700,-0.005,0.000,0.000
103.800,-0.005,0.000,0.000
103.900,-0.005,0.000,0.000
104.000,-0.005,0.000,-0.005
104.100,-0.005,0.000,0.000
104.200,-0.005,0.000,-0.005
104.300,-0.005,0.000,-0.005
104.400,-0.005,0.000,0.000
104.500,-0.005,0.000,-0.005
104.600,-0.005,0.000,0.000
104.700,-0.005,0.000,0.000
104.800,-0.005,0.000,0.000
104.900,-0.005,0.000,0.000
105.000,-0.005,0.000,-0.005
105.100,-0.005,0.000,0.000
105.200,-0.005,0.000,-0.005
105.300,-0.005,0.000,0.000
105.400,-0.005,0.000,-0.005
105.500,-0.005,0.000,0.000
105.600,-0.005,0.000,-0.005
105.700,-0.005,0.000,0.000
105.800,-0.005,0.000,0.000
105.900,-0.005,0.000,0.000
106.000,-0.005,0.000,0.000
106.100,-0.005,0.000,0.000
106.200,-0.005,0.000,0.000
106.300,-0.005,0.000,0.000
106.400,-0.005,0.000,0.000
106.500,-0.005,0.000,0.000
106.600,-0.005,0.000,0.000
106.700,-0.005,0.000,0.000
106.800,-0.005,0.000,0.000
106.900,-0.005,0.000,-0.005
107.000,-0.005,0.000,0.000
107.100,-0.005,0.000,0.000
107.200,-0.005,0.000,-0.005
107.300,-0.005,0.000,0.000
107.400,-0.005,0.000,0.000
107.500,-0.005,0.000,0.000
107.600,-0.005,0.000,0.000
107.700,-0.005,0.000,0.000
107.800,-0.005,0.000,0.000
107.900,-0.005,0.000,-0.005
108.000,-0.005,0.000,0.000
108.100,-0.005,0.000,-0.005
108.200,-0.005,0.000,-0.005
108.300,-0.005,0.000,0.000
108.400,-0.005,0.000,-0.005
108.500,-0.005,0.000,0.000
108.600,-0.005,0.000,-0.005
108.700,-0.005,0.000,0.000
108.800,-0.005,0.000,0.000
108.900,-0.005,0.000,0.000
109.000,-0.005,0.000,0.000
109.100,-0.005,0.000,0.000
109.200,-0.005,0.000,0.000
109.300,-0.005,0.000,0.000
109.400,-0.005,0.000,0.000
109.500,-0.005,0.000,0.000
109.600,-0.005,0.000,0.000
109.700,-0.005,0.000,0.000
109.800,-0.005,0.000,0.000
109.900,-0.005,0.000,0.000
110.000,-0.005,0.000,0.000
110.100,-0.005,0.000,0.000
110.200,-0.005,0.000,0.000
110.300,-0.005,0.000,0.000
110.400,-0.005,0.000,0.000
110.500,-0.005,0.000,0.000
110.600,-0.005,0.000,0.000
110.700,-0.005,0.000,0.000
110.800,-0.005,0.000,0.000
110.900,-0.005,0.000,0.000
111.000,-0.005,0.000,0.000
111.100,-0.005,0.000,0.000
111.200,-0.005,0.000,-0.005
111.300,-0.005,0.000,-0.005
111.400,-0.005,0.000,-0.005
111.500,-0.005,0.000,0.000
111.600,-0.005,0.000,0.000
111.700,-0.005,0.000,-0.005
111.800,-0.005,0.000,-0.005
111.900,-0.005,0.000,-0.005
112.000,-0.005,0.000,-0.005
112.100,-0.005,0.000,0.000
112.200,-0.005,0.000,0.000
112.300,-0.005,0.000,0.000
112.400,-0.005,0.000,0.000
112.500,-0.005,0.000,0.000
112.600,-0.005,0.000,0.000
112.700,-0.005,0.000,0.000
112.800,-0.005,0.000,-0.005
112.900,-0.005,0.000,-0.005
113.000,-0.005,0.000,0.000
113.100,-0.005,0.000,0.000
113.200,-0.005,0.000,0.000
113.300,-0.005,0.000,0.000
113.400,-0.005,0.000,-0.005
113.500,-0.005,0.000,0.000
113.600,-0.005,0.000,0.000
113.700,-0.005,0.000,0.000
113.800,-0.005,0.000,0.000
113.900,-0.005,0.000,0.000
114.000,-0.005,0.000,-0.005
114.100,-0.005,0.000,0.000
114.200,-0.005,0.000,-0.005
114.300,-0.005,0.000,0.000
114.400,-0.005,0.000,-0.005
114.500,-0.005,0.000,-0.005
114.600,-0.005,0.000,0.000
114.700,-0.005,0.000,0.000
114.800,-0.005,0.000,0.000
114.900,-0.005,0.000,0.000
115.000,-0.005,0.000,0.000
115.100,-0.005,0.000,0.000
115.200,-0.005,0.000,0.000
115.300,-0.005,0.000,0.000
115.400,-0.005,0.000,0.000
115.500,-0.005,0.000,0.000
115.600,-0.005,0.000,0.000
115.700,-0.005,0.000,0.000
115.800,-0.005,0.000,0.000
115.900,-0.005,0.000,0.000
116.000,-0.005,0.000,0.000
116.100,-0.005,0.000,0.000
116.200,-0.005,0.000,0.000
116.300,-0.005,0.000,0.000
116.400,-0.005,0.000,0.000
116.500,-0.005,0.000,0.000
116.600,-0.005,0.000,-0.005
116.700,-0.005,0.000,0.000
116.800,-0.005,0.000,-0.005
116.900,-0.005,0.000,0.000
117.000,-0.005,0.000,0.000
117.100,-0.005,0.000,0.000
117.200,-0.005,0.000,-0.005
117.300,-0.005,0.000,0.000
117.400,-0.005,0.000,0.000
117.500,-0.005,0.000,0.000
117.600,-0.005,0.000,0.000
117.700,-0.005,0.000,0.000
117.800,-0.005,0.000,-0.005
117.900,-0.005,0.000,0.000
118.000,-0.005,0.000,0.000
118.100,-0.005,0.000,0.000
118.200,-0.005,0.000,0.000
118.300,-0.005,0.000,0.000
118.400,-0.005,0.000,0.000
118.500,-0.005,0.000,-0.005
118.600,-0.005,0.000,0.000
118.700,-0.005,0.000,0.000
118.800,-0.005,0.000,0.000
118.900,-0.005,0.000,-0.005
119.000,-0.005,0.000,0.000
119.100,-0.005,0.000,0.000
119.200,-0.005,0.000,0.000
119.300,-0.005,0.000,0.000
119.400,-0.005,0.000,0.000
119.500,-0.005,0.000,0.000
119.600,-0.005,0.000,0.000
119.700,-0.005,0.000,0.000
119.800,-0.005,0.000,-0.005
119.900,-0.005,0.000,0.000
